study_id,year,author,condition,population_type,population_age,outcome_cat,outcome_direction,blinding,control_type,wavelength_nm,session_duration_min,session_count,study_design,application,sample,source,publisher
S001,2009,Schiffer et al.,Major Depressive Disorder,clinical,adult,Mood; Anxiety,positive,double-blind,placebo-controlled,810,8,1,Open-label pilot,transcrainial,10,Psychological benefits 2 and 4 weeks after a single treatment with near infrared light to the forehead: a pilot study of 10 patients with major depression and anxiety - PubMed,PubMed
S002,2015,Cassano et al.,Major Depressive Disorder,clinical,adult,Mood,positive,double-blind,sham-controlled,823,8,6,RCT,transcranial,4,Near-Infrared Transcranial Radiation for Major Depressive Disorder: Proof of Concept Study - PubMed,PubMed
S003,2018,Cassano et al.,Major Depressive Disorder,clinical,adult,Mood,positive,double-blind,sham-controlled,823,30,16,Clinical study,transcranial,21,Transcranial Photobiomodulation for the Treatment of Major Depressive Disorder. The ELATED-2 Pilot Trial - PubMed,PubMed
S004,2019,Maiello et al.,General Anxiety Disorder,clinical,adult,Anxiety,positive,no blinding,open-label,830,20,56,Open-label pilot,transcranial,15,Transcranial Photobiomodulation with Near-Infrared Light for Generalized Anxiety Disorder: A Pilot Study - PubMed,PubMed
S005,2024,Weerasekera et al.,Major Depressive Disorder,clinical,adult,Safety; Brain temperature,mixed,single-blind,sham-controlled,850,,4,Randomized spectroscopy study,transcrainial,30,Dose-dependent effects of transcranial photobiomodulation on brain temperature in patients with major depressive disorder: a spectroscopy study - PubMed,PubMed
S006,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Mood; Sleep quality,mixed,double-blind,sham-controlled,850,40,56,RCT,transcrainial,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial - PubMed",PubMed
S007,2022,Iosifescu et al.,Major Depressive Disorder,clinical,adult,Mood,mixed,double-blind,sham-controlled,830,20,12,RCT,transcrainial,41,"Very Low-Level Transcranial Photobiomodulation for Major Depressive Disorder: The ELATED-3 Multicenter, Randomized, Sham-Controlled Trial - PubMed",PubMed
S008,2023,Wang et al.,General Anxiety Disorder,clinical,adult,Anxiety,positive,double-blind,sham-controlled,820,16,56,RCT,transcrainial,40,"820-nm Transcranial near-infrared stimulation on the left DLPFC relieved anxiety: A randomized, double-blind, sham-controlled study - PubMed",PubMed
S009,2021,Chao et al.,Dementia / Alzheimer's Disease,clinical,geriatric,Cognitive function,positive,no blinding,no control group,810,20,36,RCT,transcrainial,8,"Effects of Home Photobiomodulation Treatments on Cognitive and Behavioral Function, Cerebral Perfusion, and Resting-State Functional Connectivity in Patients with Dementia: A Pilot Trial - PubMed",PubMed
S010,2022,Papi et al.,Mild Cognitive Impairment,aging,geriatric,Cognitive function; Attention,positive,single-blind,sham-controlled,850,10,5,RCT,transcrainial,40,The effect of transcranial photobiomodulation on cognitive function and attentional performance of older women with mild cognitive impairment: a randomized controlled trial - PubMed,PubMed
S011,2021,Chan et al.,Mild Cognitive Impairment,aging,geriatric,Memory,positive,single-blind,sham-controlled,,,1,Controlled trial,transcrainial,36,Photobiomodulation Enhances Memory Processing in Older Adults with Mild Cognitive Impairment: A Functional Near-Infrared Spectroscopy Study - PubMed,PubMed
