study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S020,2001,Eagles et al.,Seasonal Affective Disorder,clinical,adult,Rct,peripheral,750,60,28,not reported,placebo-controlled,Depression,inconclusive,57,Light therapy for seasonal affective disorder in primary care | The British Journal of Psychiatry | Cambridge Core,Cambridge University Press
S064,2004,Zalewska-Kaszubska & Obzejta,Alcohol Use Disorder,clinical,adult,Controlled Trial,peripheral,514,5,80,no blinding,no control group,Depression,positive,15,Use of low-energy laser as adjunct treatment of alcohol addiction | Lasers in Medical Science,Springer
S064,2004,Zalewska-Kaszubska & Obzejta,Alcohol Use Disorder,clinical,adult,Controlled Trial,peripheral,514,5,80,no blinding,no control group,Mood,positive,15,Use of low-energy laser as adjunct treatment of alcohol addiction | Lasers in Medical Science,Springer
S018,2006,Glickman et al.,Seasonal Affective Disorder,clinical,adult,Rct,peripheral,468,45,21,single-blind,placebo-controlled,Depression,positive,24,Original article Light Therapy for Seasonal Affective Disorder with Blue Narrow-Band Light-Emitting Diodes (LEDs),ScienceDirect
S001,2009,Schiffer et al.,Major Depressive Disorder,clinical,adult,Open-Label Pilot,transcranial,810,8,1,double-blind,placebo-controlled,Anxiety,positive,10,Psychological benefits 2 and 4 weeks after a single treatment with near infrared light to the forehead: a pilot study of 10 patients with major depression and anxiety,PubMed
S001,2009,Schiffer et al.,Major Depressive Disorder,clinical,adult,Open-Label Pilot,transcranial,810,8,1,double-blind,placebo-controlled,Mood,positive,10,Psychological benefits 2 and 4 weeks after a single treatment with near infrared light to the forehead: a pilot study of 10 patients with major depression and anxiety,PubMed
S021,2011,Naeser et al.,Brain Injury,clinical,adult,Clinical Study,transcranial,870,10,116,no blinding,no control group,Cognitive Function,positive,2,"Improved Cognitive Function After Transcranial, Light-Emitting Diode Treatments in Chronic, Traumatic Brain Injury: Two Case Reports",Mary Ann Liebert
S017,2013,Barrett et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,placebo-controlled,Cognitive Function,positive,20,Transcranial infrared laser stimulation produces beneficial cognitive and emotional effects in humans - Neuroscience,Elsevier
S017,2013,Barrett et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,placebo-controlled,Mood,positive,20,Transcranial infrared laser stimulation produces beneficial cognitive and emotional effects in humans - Neuroscience,Elsevier
S068,2014,Gonzalez-Lima & Barrett,Healthy,healthy,adult,Controlled Trial,transcranial,1064,4,1,double-blind,placebo-controlled,Cognitive Function,positive,20,Augmentation of cognitive brain functions with transcranial lasers - PMC,PubMed
S068,2014,Gonzalez-Lima & Barrett,Healthy,healthy,adult,Controlled Trial,transcranial,1064,4,1,double-blind,placebo-controlled,Mood,positive,20,Augmentation of cognitive brain functions with transcranial lasers - PMC,PubMed
S055,2014,Naeser et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,870,20,18,no blinding,open-label,Cognitive Function,positive,11,"Significant improvements in cognitive performance post-transcranial, red/near-infrared light-emitting diode treatments in chronic, mild traumatic brain injury: open-protocol study",Pubmed
S002,2015,Cassano et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,823,8,6,double-blind,sham-controlled,Mood,positive,4,Near-Infrared Transcranial Radiation for Major Depressive Disorder: Proof of Concept Study,PubMed
S053,2016,Disner et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,1064,8,2,single-blind,placebo-controlled,Attention,positive,52,Transcranial Laser Stimulation as Neuroenhancement for Attention Bias Modification in Adults with Elevated Depression Symptoms,Pubmed
S053,2016,Disner et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,1064,8,2,single-blind,placebo-controlled,Mood,positive,52,Transcranial Laser Stimulation as Neuroenhancement for Attention Bias Modification in Adults with Elevated Depression Symptoms,Pubmed
S051,2016,Hwang et al.,Healthy,healthy,adult,Rct,transcranial,1064,8,1,single-blind,placebo-controlled,Attention,positive,30,Cognitive enhancement by transcranial laser stimulation and acute aerobic exercise | Lasers in Medical Science | Springer Nature Link,Springer
S051,2016,Hwang et al.,Healthy,healthy,adult,Rct,transcranial,1064,8,1,single-blind,placebo-controlled,Cognitive Function,positive,30,Cognitive enhancement by transcranial laser stimulation and acute aerobic exercise | Lasers in Medical Science | Springer Nature Link,Springer
S058,2017,Berman et al.,Alzheimer's,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Cognitive Function,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S058,2017,Berman et al.,Alzheimer's,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Memory,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S058,2017,Berman et al.,Dementia,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Cognitive Function,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S058,2017,Berman et al.,Dementia,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Memory,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S050,2017,Blanco et al.,Healthy,healthy,adult,Rct,transcranial,1064,8,1,single-blind,sham-controlled,Cognitive Function,positive,21,"Transcranial infrared laser stimulation improves rule-based, but not information-integration, category learning in humans",Elsevier
S056,2017,Saltmarche et al.,Alzheimer's,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Cognitive Function,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S056,2017,Saltmarche et al.,Alzheimer's,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Memory,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S056,2017,Saltmarche et al.,Dementia,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Cognitive Function,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S056,2017,Saltmarche et al.,Dementia,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Memory,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S061,2017,Silva et al.,Fibromyalgia,clinical,adult,Rct,peripheral,905,55,20,double-blind,sham-controlled,Anxiety,positive,160,"Randomized, blinded, controlled trial on effectiveness of photobiomodulation therapy and exercise training in the fibromyalgia treatment",PubMed
S061,2017,Silva et al.,Fibromyalgia,clinical,adult,Rct,peripheral,905,55,20,double-blind,sham-controlled,Mood,positive,160,"Randomized, blinded, controlled trial on effectiveness of photobiomodulation therapy and exercise training in the fibromyalgia treatment",PubMed
S061,2017,Silva et al.,Fibromyalgia,clinical,adult,Rct,peripheral,905,55,20,double-blind,sham-controlled,Pain,positive,160,"Randomized, blinded, controlled trial on effectiveness of photobiomodulation therapy and exercise training in the fibromyalgia treatment",PubMed
S019,2017,Videnovic et al.,Parkinson's,clinical,adult,Rct,peripheral,NA,60,28,single-blind,placebo-controlled,Sleep,positive,31,Timed Light Therapy for Sleep and Daytime Sleepiness Associated With Parkinson Disease: A Randomized Clinical Trial | Sleep Medicine | JAMA Neurology,JAMA Neurology
S019,2017,Videnovic et al.,Sleepiness,clinical,adult,Rct,peripheral,NA,60,28,single-blind,placebo-controlled,Sleep,positive,31,Timed Light Therapy for Sleep and Daytime Sleepiness Associated With Parkinson Disease: A Randomized Clinical Trial | Sleep Medicine | JAMA Neurology,JAMA Neurology
S024,2018,Cassano et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,823,30,16,double-blind,sham-controlled,Depression,positive,20,Transcranial Photobiomodulation for the Treatment of Major Depressive Disorder. The ELATED-2 Pilot Trial - PMC,PubMed
S003,2018,Cassano et al.,Major Depressive Disorder,clinical,adult,Clinical Study,transcranial,823,30,16,double-blind,sham-controlled,Mood,positive,21,Transcranial Photobiomodulation for the Treatment of Major Depressive Disorder. The ELATED-2 Pilot Trial,PubMed
S036,2018,Chan et al.,Natural Aging,aging,geriatric,Rct,transcranial,870,7.5,1,single-blind,sham-controlled,Cognitive Function,positive,31,Photobiomodulation Improves the Frontal Cognitive Function of Older Adults - PMC,PubMed
S063,2018,Gabel et al.,Major Depressive Disorder,clinical,adult,Case Control,peripheral,660,6,3,no blinding,case-control,Mood,positive,21,A case control series for the effect of photobiomodulation in patients with low back pain and concurrent depression - PMC,PubMed
S063,2018,Gabel et al.,Major Depressive Disorder,clinical,adult,Case Control,peripheral,660,6,3,no blinding,case-control,Pain,positive,21,A case control series for the effect of photobiomodulation in patients with low back pain and concurrent depression - PMC,PubMed
S065,2019,Cassano et al.,Major Depressive Disorder,clinical,adult,Pilot Study,transcranial,823,30,16,double-blind,sham-controlled,Mood,mixed,10,Effects of transcranial photobiomodulation with near-infrared light on sexual dysfunction,Pubmed
S072,2019,Cassano et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,808,NA,4,double-blind,sham-controlled,Safety,positive,31,Dose-dependent tolerability and safety of transcranial photobiomodulation: a randomized controlled trial,PubMed
S065,2019,Cassano et al.,Major Depressive Disorder,clinical,adult,Pilot Study,transcranial,823,30,16,double-blind,sham-controlled,Sexual Function,mixed,10,Effects of transcranial photobiomodulation with near-infrared light on sexual dysfunction,Pubmed
